id,smiles,delta_eps,delta_eps_am1,delta_eps_r2scan3c
de_cp_0001,CCCC0CCC(C1CCC(c2cc(F)c(F)c(F)c2)CC1)CC0,9.7,3.511850719,2.748619885
de_cp_0002,CCCC0CCC(C1CCC(C(F)(F)Oc2cc(F)c(F)c(F)c2)CC1)CC0,10.5,13.45378234,9.866232437
de_cp_0003,CCCC0CCC(C1COC(c2cc(F)c(F)c(F)c2)OC1)CC0,17,17.13000874,19.05473038
de_cp_0004,CCCc0ccc(c1cc(F)c(C(F)(F)Oc2cc(F)c(F)c(F)c2)c(F)c1)cc0,25.2,33.08391602,23.29299481
de_cp_0005,CCCC0COC(C1CCC(c2cc(F)c(F)c(F)c2)CC1)CC0,15,15.06007281,14.41209659
de_cp_0006,CCCC0COC(c1ccc(c2cc(F)c(F)c(F)c2)cc1)CC0,15.6,16.87792664,15.55007817
de_cp_0007,CCCC0COC(c1ccc(c3cc(F)c(C(F)(F)O(c2cc(F)c(F)c(F)c2))c(F)c3)cc1)CC0,26,35.17110173,27.42124438
de_cp_0008,CCCC0CCC(C1COC(c2cc(F)c(F)c(F)c2)CC1)CC0,12.7,12.57000108,12.01960537
de_cp_0009,CCCC0COC(C1CCC(C(F)(F)Oc2cc(F)c(F)c(F)c2)CC1)CC0,14,17.2804351,12.86651089
de_cp_0010,CCCC0CCC(C1COC(C(F)(F)Oc2cc(F)c(F)c(F)c2)CC1)CC0,12.4,13.81980015,7.715475686
de_cp_0011,CCCC0COC(C1CCC(C(F)(F)(F))CC1)CC0,10.5,10.63420747,9.541266542
de_cp_0012,CCCC0CCC(C1COC(C(F)(F)(F))CC1)CC0,8.8,8.954542575,7.851730997
de_cp_0013,CCCC0COC(c1cc(F)c(c2cc(F)c(C(F)(F)Oc3cc(F)c(F)c(F)c3)c(F)c2)c(F)c1)CC0,35.6,44.25877789,32.41036849
de_cp_0014,CCCC0COC(c1cc(F)c(c2cc(F)c(C(F)(F)Oc3cc(F)c(C#N)c(F)c3)c(F)c2)c(F)c1)CC0,66.6,61.1924914,66.70699143
