id,xyz_file,smiles,name,status,reason,ff_used,min_energy_kcal,delta_eps,delta_eps_am1,delta_eps_r2scan3c
de_cp_0001,de_cp_0001.xyz,CCCC0CCC(C1CCC(c2cc(F)c(F)c(F)c2)CC1)CC0,,ok,ok,mmff,51.603895,9.7,3.511850719,3.234423585
de_cp_0002,de_cp_0002.xyz,CCCC0CCC(C1CCC(C(F)(F)Oc2cc(F)c(F)c(F)c2)CC1)CC0,,ok,ok,mmff,49.573338,10.5,13.45378234,9.845458232
de_cp_0003,de_cp_0003.xyz,CCCC0CCC(C1COC(c2cc(F)c(F)c(F)c2)OC1)CC0,,ok,ok,mmff,21.786215,17,17.13000874,18.54492604
de_cp_0004,de_cp_0004.xyz,CCCc0ccc(c1cc(F)c(C(F)(F)Oc2cc(F)c(F)c(F)c2)c(F)c1)cc0,,ok,ok,mmff,27.923421,25.2,33.08391602,22.95708423
de_cp_0005,de_cp_0005.xyz,CCCC0COC(C1CCC(c2cc(F)c(F)c(F)c2)CC1)CC0,,ok,ok,mmff,53.821918,15,15.06007281,14.62777
de_cp_0006,de_cp_0006.xyz,CCCC0COC(c1ccc(c2cc(F)c(F)c(F)c2)cc1)CC0,,ok,ok,mmff,56.499124,15.6,16.87792664,15.3726064
de_cp_0007,de_cp_0007.xyz,CCCC0COC(c1ccc(c3cc(F)c(C(F)(F)O(c2cc(F)c(F)c(F)c2))c(F)c3)cc1)CC0,,ok,ok,mmff,45.124343,26,35.17110173,27.22827477
de_cp_0008,de_cp_0008.xyz,CCCC0CCC(C1COC(c2cc(F)c(F)c(F)c2)CC1)CC0,,ok,ok,mmff,49.08945,12.7,12.57000108,12.25887519
de_cp_0009,de_cp_0009.xyz,CCCC0COC(C1CCC(C(F)(F)Oc2cc(F)c(F)c(F)c2)CC1)CC0,,ok,ok,mmff,49.107993,14,17.2804351,13.48359362
de_cp_0010,de_cp_0010.xyz,CCCC0CCC(C1COC(C(F)(F)Oc2cc(F)c(F)c(F)c2)CC1)CC0,,ok,ok,mmff,92.525261,12.4,13.81980015,7.936005772
de_cp_0011,de_cp_0011.xyz,CCCC0COC(C1CCC(C(F)(F)(F))CC1)CC0,,ok,ok,mmff,30.879684,10.5,10.63420747,9.421780709
de_cp_0012,de_cp_0012.xyz,CCCC0CCC(C1COC(C(F)(F)(F))CC1)CC0,,ok,ok,mmff,70.658381,8.8,8.954542575,8.610218475
de_cp_0013,de_cp_0013.xyz,CCCC0COC(c1cc(F)c(c2cc(F)c(C(F)(F)Oc3cc(F)c(F)c(F)c3)c(F)c2)c(F)c1)CC0,,ok,ok,mmff,43.548704,35.6,44.25877789,32.54268916
de_cp_0014,de_cp_0014.xyz,CCCC0COC(c1cc(F)c(c2cc(F)c(C(F)(F)Oc3cc(F)c(C#N)c(F)c3)c(F)c2)c(F)c1)CC0,,ok,ok,mmff,27.163072,66.6,61.1924914,66.25617545
de_cp_0015,de_cp_0015.xyz,CCCC0COC(c1cc(F)c(c2cc(F)c(C(F)(F)Oc4cc(F)c(c3cc(F)c(F)c(F)c3)cc4)c(F)c2)c(F)c1)CC0,,ok,ok,mmff,67.282753,37.1,49.76348083,35.97581775
de_cp_0016,de_cp_0016.xyz,CCCC0COC(c1cc(F)c(c2cc(F)c(C(F)(F)Oc4cc(F)c(c3cc(F)c(C#N)c(F)c3)cc4)c(F)c2)c(F)c1)CC0,,ok,ok,mmff,51.422276,70.3,58.2424282,62.16898154
de_cp_0017,de_cp_0017.xyz,CCCC0COC(C1COC(c2ccc(c3cc(F)c(C(F)(F)Oc4cc(F)c(F)c(F)c4)c(F)c3)cc2)CC1)OC0,,ok,ok,mmff,34.839676,35.6,14.96091979,12.64835999
de_cp_0018,de_cp_0018.xyz,CCCCCC0CCC(c1ccc(c2ccc(F)nc(F)2)cc1)CC0,,ok,ok,mmff,46.635323,2.3,7.431059293,9.42155189
de_cp_0019,de_cp_0019.xyz,CCCCCC0CCC(c1ccc(c2ccc(OCC)c(F)c(F)2)cc1)CC0,,ok,ok,mmff,75.359317,-4.1,-3.222528691,-2.452347596
de_cp_0020,de_cp_0020.xyz,CCCC0CCC(C1CCC(c2nc(F)c(OCC)cc2)CC1)CC0,,ok,ok,mmff,68.321052,-6.1,0.746146195,4.371341434
de_cp_0021,de_cp_0021.xyz,CCCC0CCC(C1CCC(COc2nc(F)c(OCC)cc2)CC1)CC0,,ok,ok,mmff,44.431366,-2.7,-1.324172285,-1.393345058
de_cp_0022,de_cp_0022.xyz,CCCC0CCC(C1CCC(COc2c(F)nc(OCC)cc2)CC1)CC0,,ok,ok,mmff,45.431179,-2.1,-1.276710604,-0.755524058
de_cp_0023,de_cp_0023.xyz,CCCC0CCC(C1CCC(COc2c(F)c(F)c(OCC)cc2)CC1)CC0,,ok,ok,mmff,73.044915,-6,-6.799392589,-4.635822843
de_cp_0024,de_cp_0024.xyz,CCCCCC0CCC(C(=O)Oc1ccc(OCC)nc(F)1)CC0,,ok,ok,mmff,20.076109,-1.1,0.864022745,-0.362918667
de_cp_0025,de_cp_0025.xyz,CCCCCC0CCC(C(=O)Oc1ccc(OCC)c(F)n1)CC0,,ok,ok,mmff,34.366595,-5.3,-4.378810296,-0.566004275
de_cp_0026,de_cp_0026.xyz,CCCCCC0CCC(C(=O)Oc1ccc(OCC)c(F)c(F)1)CC0,,ok,ok,mmff,53.830439,-4.6,-2.885219876,-0.885159199
de_cp_0027,de_cp_0027.xyz,CCCCCc0ccc(C(=O)Oc1ccc(OCC)nc(F)1)cc0,,ok,ok,mmff,52.28736,-5,3.076796361,1.325079091
de_cp_0028,de_cp_0028.xyz,CCCCCc0ccc(C(=O)Oc1ccc(OCC)c(F)c(F)1)cc0,,ok,ok,mmff,85.564858,-3.5,-0.985106952,-3.152668882
de_cp_0029,de_cp_0029.xyz,CCCCCc0ccc(c1cc(F)c(c2ccc4OC(C(F)(F)(F))CCc4c2)c(F)c1)cc0,,ok,ok,mmff,87.692739,17.4,12.72080436,6.713185731
de_cp_0030,de_cp_0030.xyz,CCCCCc0ccc(c1cc(F)c(c2cc(F)c4OC(C(F)(F)(F))CCc4c2)cc1)cc0,,ok,ok,mmff,103.486421,16.9,10.66357951,5.045701117
de_cp_0031,de_cp_0031.xyz,CCCCCc0ccc(c1cc(F)c(c2ccc4OC(F)(F)CCc4c2)c(F)c1)cc0,,ok,ok,mmff,50.082726,18.7,12.07943855,9.103134029
de_cp_0032,de_cp_0032.xyz,CCCCCc0ccc(c1cc(F)c(c2cc(F)c4OC(F)(F)CCc4c2)cc1)cc0,,ok,ok,mmff,61.033232,18.3,11.89867258,9.414456401
de_cp_0033,de_cp_0033.xyz,CCCc0ccc(c2cc(F)c4OC(c3cc(F)c(F)c(F)c3)CCc4c2)cc0,,ok,ok,mmff,77.629601,17.7,8.218735851,4.079115628
de_cp_0034,de_cp_0034.xyz,CCCCc0ccc(c1ccc(C#Cc2c(F)cc(CCCC)cc(F)2)cc1)cc0,,ok,ok,mmff,59.144736,3.6,1.384282703,1.321374563
de_cp_0035,de_cp_0035.xyz,CC(c0ccc(C#Cc2ccc(C#Cc3ccc(CC)cc(F)3)cc2)c(F)c0),,ok,ok,mmff,60.098025,1.4,1.330629206,1.870536016
