filename,smiles,reason,normal_termination,has_imag_freq,temperature_K,P2,kirkwood_g,density_kg_m3,iterations,converge_threshold,molecular_mass_amu,dipole_x_debye,dipole_y_debye,dipole_z_debye,dipole_debye,dipole_angle_deg,pol_iso_A3,pol_aniso_A3,delta_eps,eps_parallel,eps_perpendicular,eps_static,expde
de_cp_0001.log,CCCC0CCC(C1CCC(c2cc(F)c(F)c(F)c2)CC1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,338.22214,-2.8246,-2.4307,-0.2187,3.732893963,40.82776388,26.22375418,13.7786102,3.511850719,9.276205371,5.764354652,6.934971559,9.7
de_cp_0002.log,CCCC0CCC(C1CCC(C(F)(F)Oc2cc(F)c(F)c(F)c2)CC1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,404.21386,-4.9323,0.0229,0.3932,4.948001004,4.565636882,28.92916243,17.21734708,13.45378234,18.24287801,4.789095675,9.273689787,10.5
de_cp_0003.log,CCCC0CCC(C1COC(c2cc(F)c(F)c(F)c2)OC1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,342.18066,5.2026,0.1627,-2.0711,5.602050808,21.76761092,25.3473898,16.05309149,17.13000874,25.12505088,7.995042132,13.70504505,17
de_cp_0004.log,CCCc0ccc(c1cc(F)c(C(F)(F)Oc2cc(F)c(F)c(F)c2)c(F)c1)cc0,,TRUE,TRUE,298,0.6,1,1000,25,0.001,428.10111,-7.5798,0.0732,0.1277,7.581229028,1.112487047,33.47670421,32.81138425,33.08391602,42.15978111,9.075865092,20.1038371,25.2
de_cp_0005.log,CCCC0COC(C1CCC(c2cc(F)c(F)c(F)c2)CC1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,340.2014,-4.7436,-0.8725,0.4351,4.842758431,11.61448306,25.82261817,15.14324614,15.06007281,20.72969873,5.669625917,10.68965019,15
de_cp_0006.log,CCCC0COC(c1ccc(c2cc(F)c(F)c(F)c2)cc1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,334.15445,4.8456,-1.3343,0.3785,5.040184332,15.97259828,28.1764335,26.01103838,16.87792664,23.56945241,6.691525772,12.31750132,15.6
de_cp_0007.log,CCCC0COC(c1ccc(c3cc(F)c(C(F)(F)O(c2cc(F)c(F)c(F)c2))c(F)c3)cc1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,512.15863,8.5523,0.4972,0.9914,8.623915415,7.389067672,40.47759204,37.06589916,35.17110173,45.22411593,10.0530142,21.77671478,26
de_cp_0008.log,CCCC0CCC(C1COC(c2cc(F)c(F)c(F)c2)CC1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,340.2014,-4.4491,-1.6855,-0.3385,4.769694257,21.12678241,25.89359865,15.50206581,12.57000108,18.79666059,6.226659504,10.41665987,12.7
de_cp_0009.log,CCCC0COC(C1CCC(C(F)(F)Oc2cc(F)c(F)c(F)c2)CC1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,406.19312,-5.6155,0.8352,-0.6421,5.713465822,10.62545701,28.35326725,17.40895909,17.2804351,23.34176041,6.061325309,11.82147034,14
de_cp_0010.log,CCCC0CCC(C1COC(C(F)(F)Oc2cc(F)c(F)c(F)c2)CC1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,406.19312,-5.0873,-1.2556,0.0912,5.240750909,13.8992392,28.3546997,15.80180815,13.81980015,19.32702915,5.507228991,10.11382904,12.4
de_cp_0011.log,CCCC0COC(C1CCC(C(F)(F)(F))CC1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,278.18575,-3.8376,-0.8221,-1.1624,4.093188968,20.35466597,18.62844808,4.849305876,10.63420747,16.0575525,5.423345032,8.968080854,10.5
de_cp_0012.log,CCCC0CCC(C1COC(C(F)(F)(F))CC1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,278.18575,-3.6817,-1.5099,1.3792,4.211520573,29.04987936,18.60518308,4.794231579,8.954542575,15.39620757,6.441664993,9.426512518,8.8
de_cp_0013.log,CCCC0COC(c1cc(F)c(c2cc(F)c(C(F)(F)Oc3cc(F)c(F)c(F)c3)c(F)c2)c(F)c1)CC0,,TRUE,TRUE,298,0.6,1,1000,25,0.001,548.13978,10.0124,-0.9763,-0.0134,10.05989538,5.569774175,40.82222028,36.71408182,44.25877789,56.14855104,11.88977315,26.64269912,35.6
de_cp_0014.log,CCCC0COC(c1cc(F)c(c2cc(F)c(C(F)(F)Oc3cc(F)c(C#N)c(F)c3)c(F)c2)c(F)c1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,555.14446,-11.6746,-0.9416,0.3691,11.71832456,4.951111802,43.13651969,42.14266757,61.1924914,76.89348689,15.70099549,36.09849262,66.6
de_cp_0015.log,CCCC0COC(c1cc(F)c(c2cc(F)c(C(F)(F)Oc4cc(F)c(c3cc(F)c(F)c(F)c3)cc4)c(F)c2)c(F)c1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,642.16166,11.2979,0.4529,-0.7966,11.33500041,4.636975109,50.8741325,48.13966112,49.76348083,62.83968079,13.07619996,29.6640269,37.1
de_cp_0016.log,CCCC0COC(c1cc(F)c(c2cc(F)c(C(F)(F)Oc4cc(F)c(c3cc(F)c(C#N)c(F)c3)cc4)c(F)c2)c(F)c1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,649.16633,-12.1811,0.3275,-1.5264,12.28073086,7.303255741,53.17573742,57.78675494,58.2424282,73.70755325,15.46512505,34.87926778,70.3
de_cp_0017.log,CCCC0COC(C1COC(c2ccc(c3cc(F)c(C(F)(F)Oc4cc(F)c(F)c(F)c4)c(F)c3)cc2)CC1)OC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,598.19541,-6.3298,1.0103,-0.8541,6.466572581,11.80506895,44.32046612,16.30780782,14.96091979,20.67553094,5.714611149,10.70158441,35.6
de_cp_0018.log,CCCCCC0CCC(c1ccc(c2ccc(F)nc(F)2)cc1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,343.21116,-3.5657,1.8786,1.4594,4.286397416,33.70929807,30.23066874,24.63992005,7.431059293,14.20587957,6.774820276,9.25184004,2.3
de_cp_0019.log,CCCCCC0CCC(c1ccc(c2ccc(OCC)c(F)c(F)2)cc1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,386.24212,0.9792,3.6764,1.0083,3.935913933,75.59431871,34.77702504,28.48626211,-3.222528691,5.207260189,8.429788881,7.35561265,-4.1
de_cp_0020.log,CCCC0CCC(C1CCC(c2nc(F)c(OCC)cc2)CC1)CC0,,TRUE,FALSE,298,0.6,1,1000,25,0.001,347.26244,-2.4572,3.0293,-1.3075,4.113884609,53.32363607,29.10323007,15.73284636,0.746146195,8.802043301,8.055897106,8.304612505,-6.1
